#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from PArthENoPE by Ofelia Pisanti May 2017. Errors are not given. 
#neutron lifetime of 880.2 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes
#Mapping between ombh2, Yp and eta10 is not quite consistent to 0.1% level except at DeltaN=0
#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err_D/H

     0.01398      3.82591     -2.00000      0.20923      0.21042      0.00000    4.003e-05     0.00e+00
     0.01497      4.09918     -2.00000      0.20995      0.21114      0.00000    3.597e-05     0.00e+00
     0.01597      4.37246     -2.00000      0.21061      0.21180      0.00000    3.251e-05     0.00e+00
     0.01697      4.64574     -2.00000      0.21122      0.21241      0.00000    2.955e-05     0.00e+00
     0.01797      4.91902     -2.00000      0.21177      0.21297      0.00000    2.698e-05     0.00e+00
     0.01897      5.19230     -2.00000      0.21229      0.21349      0.00000    2.474e-05     0.00e+00
     0.01997      5.46558     -2.00000      0.21280      0.21400      0.00000    2.277e-05     0.00e+00
     0.02021      5.53390     -2.00000      0.21292      0.21412      0.00000    2.232e-05     0.00e+00
     0.02046      5.60222     -2.00000      0.21304      0.21424      0.00000    2.187e-05     0.00e+00
     0.02071      5.67054     -2.00000      0.21316      0.21436      0.00000    2.144e-05     0.00e+00
     0.02096      5.73886     -2.00000      0.21328      0.21448      0.00000    2.102e-05     0.00e+00
     0.02121      5.80718     -2.00000      0.21339      0.21459      0.00000    2.061e-05     0.00e+00
     0.02146      5.87550     -2.00000      0.21350      0.21470      0.00000    2.022e-05     0.00e+00
     0.02171      5.94382     -2.00000      0.21361      0.21481      0.00000    1.983e-05     0.00e+00
     0.02196      6.01214     -2.00000      0.21373      0.21493      0.00000    1.947e-05     0.00e+00
     0.02221      6.08046     -2.00000      0.21382      0.21502      0.00000    1.909e-05     0.00e+00
     0.02246      6.14878     -2.00000      0.21392      0.21512      0.00000    1.874e-05     0.00e+00
     0.02271      6.21710     -2.00000      0.21403      0.21524      0.00000    1.839e-05     0.00e+00
     0.02296      6.28542     -2.00000      0.21412      0.21533      0.00000    1.806e-05     0.00e+00
     0.02321      6.35374     -2.00000      0.21424      0.21545      0.00000    1.773e-05     0.00e+00
     0.02346      6.42206     -2.00000      0.21433      0.21554      0.00000    1.741e-05     0.00e+00
     0.02371      6.49038     -2.00000      0.21444      0.21565      0.00000    1.710e-05     0.00e+00
     0.02396      6.55870     -2.00000      0.21455      0.21576      0.00000    1.680e-05     0.00e+00
     0.02496      6.83198     -2.00000      0.21491      0.21612      0.00000    1.567e-05     0.00e+00
     0.02595      7.10525     -2.00000      0.21528      0.21649      0.00000    1.463e-05     0.00e+00
     0.02695      7.37853     -2.00000      0.21564      0.21685      0.00000    1.368e-05     0.00e+00
     0.02795      7.65181     -2.00000      0.21598      0.21719      0.00000    1.282e-05     0.00e+00
     0.02895      7.92509     -2.00000      0.21630      0.21751      0.00000    1.203e-05     0.00e+00
     0.02995      8.19837     -2.00000      0.21662      0.21784      0.00000    1.130e-05     0.00e+00
     0.03094      8.47165     -2.00000      0.21692      0.21814      0.00000    1.063e-05     0.00e+00
     0.03194      8.74493     -2.00000      0.21722      0.21844      0.00000    1.002e-05     0.00e+00
     0.03294      9.01821     -2.00000      0.21750      0.21872      0.00000    9.438e-06     0.00e+00
     0.03394      9.29149     -2.00000      0.21776      0.21898      0.00000    8.905e-06     0.00e+00
     0.03494      9.56477     -2.00000      0.21804      0.21926      0.00000    8.410e-06     0.00e+00
     0.03594      9.83804     -2.00000      0.21828      0.21950      0.00000    7.948e-06     0.00e+00
     0.03693     10.11130     -2.00000      0.21855      0.21977      0.00000    7.518e-06     0.00e+00
     0.03793     10.38460     -2.00000      0.21878      0.22000      0.00000    7.120e-06     0.00e+00
     0.03893     10.65790     -2.00000      0.21902      0.22025      0.00000    6.741e-06     0.00e+00
     0.03993     10.93120     -2.00000      0.21923      0.22046      0.00000    6.408e-06     0.00e+00
     0.00499      1.36640     -1.00000      0.21295      0.21415      0.00000    2.389e-04     0.00e+00
     0.00599      1.63967     -1.00000      0.21585      0.21706      0.00000    1.779e-04     0.00e+00
     0.00699      1.91295     -1.00000      0.21807      0.21929      0.00000    1.389e-04     0.00e+00
     0.00799      2.18623     -1.00000      0.21983      0.22106      0.00000    1.124e-04     0.00e+00
     0.00898      2.45951     -1.00000      0.22131      0.22254      0.00000    9.343e-05     0.00e+00
     0.00998      2.73279     -1.00000      0.22255      0.22379      0.00000    7.925e-05     0.00e+00
     0.01098      3.00607     -1.00000      0.22365      0.22489      0.00000    6.837e-05     0.00e+00
     0.01198      3.27935     -1.00000      0.22460      0.22585      0.00000    5.975e-05     0.00e+00
     0.01298      3.55263     -1.00000      0.22548      0.22673      0.00000    5.281e-05     0.00e+00
     0.01398      3.82591     -1.00000      0.22626      0.22751      0.00000    4.709e-05     0.00e+00
     0.01497      4.09918     -1.00000      0.22696      0.22822      0.00000    4.231e-05     0.00e+00
     0.01597      4.37246     -1.00000      0.22764      0.22890      0.00000    3.827e-05     0.00e+00
     0.01697      4.64574     -1.00000      0.22826      0.22952      0.00000    3.481e-05     0.00e+00
     0.01797      4.91902     -1.00000      0.22882      0.23008      0.00000    3.182e-05     0.00e+00
     0.01897      5.19230     -1.00000      0.22934      0.23061      0.00000    2.921e-05     0.00e+00
     0.01997      5.46558     -1.00000      0.22984      0.23111      0.00000    2.692e-05     0.00e+00
     0.02021      5.53390     -1.00000      0.22998      0.23125      0.00000    2.639e-05     0.00e+00
     0.02046      5.60222     -1.00000      0.23009      0.23136      0.00000    2.587e-05     0.00e+00
     0.02071      5.67054     -1.00000      0.23022      0.23149      0.00000    2.538e-05     0.00e+00
     0.02096      5.73886     -1.00000      0.23033      0.23160      0.00000    2.489e-05     0.00e+00
     0.02121      5.80718     -1.00000      0.23043      0.23170      0.00000    2.441e-05     0.00e+00
     0.02146      5.87550     -1.00000      0.23056      0.23183      0.00000    2.396e-05     0.00e+00
     0.02171      5.94382     -1.00000      0.23068      0.23195      0.00000    2.351e-05     0.00e+00
     0.02196      6.01214     -1.00000      0.23078      0.23205      0.00000    2.308e-05     0.00e+00
     0.02221      6.08046     -1.00000      0.23089      0.23216      0.00000    2.265e-05     0.00e+00
     0.02246      6.14878     -1.00000      0.23100      0.23227      0.00000    2.224e-05     0.00e+00
     0.02271      6.21710     -1.00000      0.23109      0.23236      0.00000    2.184e-05     0.00e+00
     0.02296      6.28542     -1.00000      0.23121      0.23248      0.00000    2.146e-05     0.00e+00
     0.02321      6.35374     -1.00000      0.23131      0.23258      0.00000    2.108e-05     0.00e+00
     0.02346      6.42206     -1.00000      0.23140      0.23267      0.00000    2.071e-05     0.00e+00
     0.02371      6.49038     -1.00000      0.23152      0.23279      0.00000    2.035e-05     0.00e+00
     0.02396      6.55870     -1.00000      0.23161      0.23288      0.00000    2.000e-05     0.00e+00
     0.02496      6.83198     -1.00000      0.23198      0.23326      0.00000    1.868e-05     0.00e+00
     0.02595      7.10525     -1.00000      0.23235      0.23363      0.00000    1.748e-05     0.00e+00
     0.02695      7.37853     -1.00000      0.23271      0.23399      0.00000    1.638e-05     0.00e+00
     0.02795      7.65181     -1.00000      0.23306      0.23434      0.00000    1.538e-05     0.00e+00
     0.02895      7.92509     -1.00000      0.23337      0.23465      0.00000    1.447e-05     0.00e+00
     0.02995      8.19837     -1.00000      0.23370      0.23498      0.00000    1.363e-05     0.00e+00
     0.03094      8.47165     -1.00000      0.23399      0.23527      0.00000    1.285e-05     0.00e+00
     0.03194      8.74493     -1.00000      0.23428      0.23557      0.00000    1.213e-05     0.00e+00
     0.03294      9.01821     -1.00000      0.23455      0.23584      0.00000    1.146e-05     0.00e+00
     0.03394      9.29149     -1.00000      0.23484      0.23613      0.00000    1.084e-05     0.00e+00
     0.03494      9.56477     -1.00000      0.23510      0.23639      0.00000    1.027e-05     0.00e+00
     0.03594      9.83804     -1.00000      0.23534      0.23663      0.00000    9.727e-06     0.00e+00
     0.03693     10.11130     -1.00000      0.23559      0.23688      0.00000    9.225e-06     0.00e+00
     0.03793     10.38460     -1.00000      0.23585      0.23714      0.00000    8.755e-06     0.00e+00
     0.03893     10.65790     -1.00000      0.23607      0.23736      0.00000    8.316e-06     0.00e+00
     0.03993     10.93120     -1.00000      0.23631      0.23760      0.00000    7.903e-06     0.00e+00
     0.00499      1.36640      0.00000      0.22686      0.22812      0.00000    2.807e-04     0.00e+00
     0.00599      1.63967      0.00000      0.22995      0.23122      0.00000    2.079e-04     0.00e+00
     0.00699      1.91295      0.00000      0.23226      0.23354      0.00000    1.618e-04     0.00e+00
     0.00799      2.18623      0.00000      0.23411      0.23539      0.00000    1.304e-04     0.00e+00
     0.00898      2.45951      0.00000      0.23560      0.23689      0.00000    1.081e-04     0.00e+00
     0.00998      2.73279      0.00000      0.23689      0.23819      0.00000    9.150e-05     0.00e+00
     0.01098      3.00607      0.00000      0.23800      0.23930      0.00000    7.881e-05     0.00e+00
     0.01198      3.27935      0.00000      0.23901      0.24031      0.00000    6.881e-05     0.00e+00
     0.01298      3.55263      0.00000      0.23987      0.24118      0.00000    6.074e-05     0.00e+00
     0.01398      3.82591      0.00000      0.24066      0.24197      0.00000    5.415e-05     0.00e+00
     0.01497      4.09918      0.00000      0.24139      0.24270      0.00000    4.864e-05     0.00e+00
     0.01597      4.37246      0.00000      0.24206      0.24337      0.00000    4.400e-05     0.00e+00
     0.01697      4.64574      0.00000      0.24268      0.24400      0.00000    4.003e-05     0.00e+00
     0.01797      4.91902      0.00000      0.24324      0.24456      0.00000    3.662e-05     0.00e+00
     0.01897      5.19230      0.00000      0.24378      0.24510      0.00000    3.363e-05     0.00e+00
     0.01997      5.46558      0.00000      0.24430      0.24562      0.00000    3.102e-05     0.00e+00
     0.02021      5.53390      0.00000      0.24442      0.24574      0.00000    3.041e-05     0.00e+00
     0.02046      5.60222      0.00000      0.24454      0.24586      0.00000    2.982e-05     0.00e+00
     0.02071      5.67054      0.00000      0.24465      0.24597      0.00000    2.925e-05     0.00e+00
     0.02096      5.73886      0.00000      0.24478      0.24610      0.00000    2.870e-05     0.00e+00
     0.02121      5.80718      0.00000      0.24488      0.24620      0.00000    2.816e-05     0.00e+00
     0.02146      5.87550      0.00000      0.24498      0.24631      0.00000    2.764e-05     0.00e+00
     0.02171      5.94382      0.00000      0.24509      0.24642      0.00000    2.713e-05     0.00e+00
     0.02196      6.01214      0.00000      0.24522      0.24655      0.00000    2.664e-05     0.00e+00
     0.02221      6.08046      0.00000      0.24533      0.24666      0.00000    2.616e-05     0.00e+00
     0.02246      6.14878      0.00000      0.24543      0.24676      0.00000    2.569e-05     0.00e+00
     0.02271      6.21710      0.00000      0.24552      0.24685      0.00000    2.525e-05     0.00e+00
     0.02296      6.28542      0.00000      0.24563      0.24696      0.00000    2.480e-05     0.00e+00
     0.02321      6.35374      0.00000      0.24575      0.24708      0.00000    2.437e-05     0.00e+00
     0.02346      6.42206      0.00000      0.24585      0.24718      0.00000    2.395e-05     0.00e+00
     0.02371      6.49038      0.00000      0.24595      0.24728      0.00000    2.354e-05     0.00e+00
     0.02396      6.55870      0.00000      0.24603      0.24736      0.00000    2.314e-05     0.00e+00
     0.02496      6.83198      0.00000      0.24642      0.24775      0.00000    2.164e-05     0.00e+00
     0.02595      7.10525      0.00000      0.24679      0.24812      0.00000    2.028e-05     0.00e+00
     0.02695      7.37853      0.00000      0.24714      0.24847      0.00000    1.905e-05     0.00e+00
     0.02795      7.65181      0.00000      0.24750      0.24883      0.00000    1.790e-05     0.00e+00
     0.02895      7.92509      0.00000      0.24781      0.24915      0.00000    1.686e-05     0.00e+00
     0.02995      8.19837      0.00000      0.24812      0.24946      0.00000    1.591e-05     0.00e+00
     0.03094      8.47165      0.00000      0.24843      0.24977      0.00000    1.503e-05     0.00e+00
     0.03194      8.74493      0.00000      0.24870      0.25004      0.00000    1.421e-05     0.00e+00
     0.03294      9.01821      0.00000      0.24898      0.25032      0.00000    1.345e-05     0.00e+00
     0.03394      9.29149      0.00000      0.24926      0.25060      0.00000    1.275e-05     0.00e+00
     0.03494      9.56477      0.00000      0.24952      0.25086      0.00000    1.209e-05     0.00e+00
     0.03594      9.83804      0.00000      0.24977      0.25111      0.00000    1.148e-05     0.00e+00
     0.03693     10.11130      0.00000      0.25003      0.25137      0.00000    1.091e-05     0.00e+00
     0.03793     10.38460      0.00000      0.25027      0.25161      0.00000    1.038e-05     0.00e+00
     0.03893     10.65790      0.00000      0.25051      0.25185      0.00000    9.874e-06     0.00e+00
     0.03993     10.93120      0.00000      0.25071      0.25206      0.00000    9.404e-06     0.00e+00
     0.00499      1.36640      1.00000      0.23893      0.24023      0.00000    3.241e-04     0.00e+00
     0.00599      1.63967      1.00000      0.24216      0.24347      0.00000    2.391e-04     0.00e+00
     0.00699      1.91295      1.00000      0.24457      0.24589      0.00000    1.853e-04     0.00e+00
     0.00799      2.18623      1.00000      0.24646      0.24779      0.00000    1.489e-04     0.00e+00
     0.00898      2.45951      1.00000      0.24801      0.24935      0.00000    1.231e-04     0.00e+00
     0.00998      2.73279      1.00000      0.24932      0.25066      0.00000    1.040e-04     0.00e+00
     0.01098      3.00607      1.00000      0.25046      0.25180      0.00000    8.937e-05     0.00e+00
     0.01198      3.27935      1.00000      0.25145      0.25280      0.00000    7.792e-05     0.00e+00
     0.01298      3.55263      1.00000      0.25236      0.25371      0.00000    6.874e-05     0.00e+00
     0.01398      3.82591      1.00000      0.25315      0.25450      0.00000    6.122e-05     0.00e+00
     0.01497      4.09918      1.00000      0.25388      0.25524      0.00000    5.498e-05     0.00e+00
     0.01597      4.37246      1.00000      0.25456      0.25592      0.00000    4.972e-05     0.00e+00
     0.01697      4.64574      1.00000      0.25517      0.25653      0.00000    4.524e-05     0.00e+00
     0.01797      4.91902      1.00000      0.25577      0.25713      0.00000    4.138e-05     0.00e+00
     0.01897      5.19230      1.00000      0.25629      0.25766      0.00000    3.802e-05     0.00e+00
     0.01997      5.46558      1.00000      0.25679      0.25816      0.00000    3.508e-05     0.00e+00
     0.02021      5.53390      1.00000      0.25692      0.25829      0.00000    3.440e-05     0.00e+00
     0.02046      5.60222      1.00000      0.25704      0.25841      0.00000    3.374e-05     0.00e+00
     0.02071      5.67054      1.00000      0.25716      0.25853      0.00000    3.310e-05     0.00e+00
     0.02096      5.73886      1.00000      0.25726      0.25863      0.00000    3.248e-05     0.00e+00
     0.02121      5.80718      1.00000      0.25737      0.25874      0.00000    3.187e-05     0.00e+00
     0.02146      5.87550      1.00000      0.25749      0.25886      0.00000    3.129e-05     0.00e+00
     0.02171      5.94382      1.00000      0.25762      0.25899      0.00000    3.072e-05     0.00e+00
     0.02196      6.01214      1.00000      0.25771      0.25908      0.00000    3.017e-05     0.00e+00
     0.02221      6.08046      1.00000      0.25784      0.25921      0.00000    2.963e-05     0.00e+00
     0.02246      6.14878      1.00000      0.25794      0.25931      0.00000    2.911e-05     0.00e+00
     0.02271      6.21710      1.00000      0.25805      0.25942      0.00000    2.860e-05     0.00e+00
     0.02296      6.28542      1.00000      0.25815      0.25952      0.00000    2.810e-05     0.00e+00
     0.02321      6.35374      1.00000      0.25824      0.25961      0.00000    2.762e-05     0.00e+00
     0.02346      6.42206      1.00000      0.25836      0.25973      0.00000    2.716e-05     0.00e+00
     0.02371      6.49038      1.00000      0.25844      0.25981      0.00000    2.670e-05     0.00e+00
     0.02396      6.55870      1.00000      0.25855      0.25992      0.00000    2.624e-05     0.00e+00
     0.02496      6.83198      1.00000      0.25892      0.26029      0.00000    2.457e-05     0.00e+00
     0.02595      7.10525      1.00000      0.25928      0.26066      0.00000    2.304e-05     0.00e+00
     0.02695      7.37853      1.00000      0.25965      0.26103      0.00000    2.166e-05     0.00e+00
     0.02795      7.65181      1.00000      0.25999      0.26137      0.00000    2.040e-05     0.00e+00
     0.02895      7.92509      1.00000      0.26031      0.26169      0.00000    1.924e-05     0.00e+00
     0.02995      8.19837      1.00000      0.26062      0.26200      0.00000    1.816e-05     0.00e+00
     0.03094      8.47165      1.00000      0.26091      0.26229      0.00000    1.717e-05     0.00e+00
     0.03194      8.74493      1.00000      0.26121      0.26259      0.00000    1.626e-05     0.00e+00
     0.03294      9.01821      1.00000      0.26149      0.26287      0.00000    1.541e-05     0.00e+00
     0.03394      9.29149      1.00000      0.26176      0.26314      0.00000    1.463e-05     0.00e+00
     0.03494      9.56477      1.00000      0.26201      0.26339      0.00000    1.390e-05     0.00e+00
     0.03594      9.83804      1.00000      0.26225      0.26364      0.00000    1.321e-05     0.00e+00
     0.03693     10.11130      1.00000      0.26249      0.26388      0.00000    1.257e-05     0.00e+00
     0.03793     10.38460      1.00000      0.26273      0.26412      0.00000    1.198e-05     0.00e+00
     0.03893     10.65790      1.00000      0.26296      0.26435      0.00000    1.141e-05     0.00e+00
     0.03993     10.93120      1.00000      0.26321      0.26460      0.00000    1.089e-05     0.00e+00
     0.00499      1.36640      2.00000      0.24950      0.25084      0.00000    3.693e-04     0.00e+00
     0.00599      1.63967      2.00000      0.25288      0.25423      0.00000    2.714e-04     0.00e+00
     0.00699      1.91295      2.00000      0.25538      0.25674      0.00000    2.095e-04     0.00e+00
     0.00799      2.18623      2.00000      0.25733      0.25870      0.00000    1.679e-04     0.00e+00
     0.00898      2.45951      2.00000      0.25896      0.26033      0.00000    1.384e-04     0.00e+00
     0.00998      2.73279      2.00000      0.26028      0.26166      0.00000    1.167e-04     0.00e+00
     0.01098      3.00607      2.00000      0.26145      0.26283      0.00000    1.001e-04     0.00e+00
     0.01198      3.27935      2.00000      0.26244      0.26383      0.00000    8.717e-05     0.00e+00
     0.01298      3.55263      2.00000      0.26336      0.26475      0.00000    7.681e-05     0.00e+00
     0.01398      3.82591      2.00000      0.26417      0.26556      0.00000    6.837e-05     0.00e+00
     0.01497      4.09918      2.00000      0.26491      0.26630      0.00000    6.135e-05     0.00e+00
     0.01597      4.37246      2.00000      0.26557      0.26697      0.00000    5.546e-05     0.00e+00
     0.01697      4.64574      2.00000      0.26618      0.26758      0.00000    5.045e-05     0.00e+00
     0.01797      4.91902      2.00000      0.26678      0.26818      0.00000    4.614e-05     0.00e+00
     0.01897      5.19230      2.00000      0.26732      0.26872      0.00000    4.240e-05     0.00e+00
     0.01997      5.46558      2.00000      0.26782      0.26922      0.00000    3.912e-05     0.00e+00
     0.02021      5.53390      2.00000      0.26793      0.26933      0.00000    3.837e-05     0.00e+00
     0.02046      5.60222      2.00000      0.26806      0.26947      0.00000    3.763e-05     0.00e+00
     0.02071      5.67054      2.00000      0.26817      0.26958      0.00000    3.692e-05     0.00e+00
     0.02096      5.73886      2.00000      0.26827      0.26968      0.00000    3.624e-05     0.00e+00
     0.02121      5.80718      2.00000      0.26839      0.26980      0.00000    3.557e-05     0.00e+00
     0.02146      5.87550      2.00000      0.26852      0.26993      0.00000    3.491e-05     0.00e+00
     0.02171      5.94382      2.00000      0.26861      0.27002      0.00000    3.428e-05     0.00e+00
     0.02196      6.01214      2.00000      0.26872      0.27013      0.00000    3.367e-05     0.00e+00
     0.02221      6.08046      2.00000      0.26883      0.27024      0.00000    3.307e-05     0.00e+00
     0.02246      6.14878      2.00000      0.26896      0.27037      0.00000    3.249e-05     0.00e+00
     0.02271      6.21710      2.00000      0.26906      0.27047      0.00000    3.193e-05     0.00e+00
     0.02296      6.28542      2.00000      0.26916      0.27057      0.00000    3.138e-05     0.00e+00
     0.02321      6.35374      2.00000      0.26925      0.27066      0.00000    3.084e-05     0.00e+00
     0.02346      6.42206      2.00000      0.26935      0.27076      0.00000    3.032e-05     0.00e+00
     0.02371      6.49038      2.00000      0.26947      0.27088      0.00000    2.981e-05     0.00e+00
     0.02396      6.55870      2.00000      0.26956      0.27097      0.00000    2.932e-05     0.00e+00
     0.02496      6.83198      2.00000      0.26995      0.27136      0.00000    2.746e-05     0.00e+00
     0.02595      7.10525      2.00000      0.27032      0.27173      0.00000    2.578e-05     0.00e+00
     0.02695      7.37853      2.00000      0.27065      0.27206      0.00000    2.425e-05     0.00e+00
     0.02795      7.65181      2.00000      0.27100      0.27241      0.00000    2.285e-05     0.00e+00
     0.02895      7.92509      2.00000      0.27131      0.27273      0.00000    2.156e-05     0.00e+00
     0.02995      8.19837      2.00000      0.27161      0.27303      0.00000    2.038e-05     0.00e+00
     0.03094      8.47165      2.00000      0.27191      0.27333      0.00000    1.929e-05     0.00e+00
     0.03194      8.74493      2.00000      0.27219      0.27361      0.00000    1.829e-05     0.00e+00
     0.03294      9.01821      2.00000      0.27249      0.27391      0.00000    1.735e-05     0.00e+00
     0.03394      9.29149      2.00000      0.27275      0.27417      0.00000    1.649e-05     0.00e+00
     0.03494      9.56477      2.00000      0.27301      0.27443      0.00000    1.568e-05     0.00e+00
     0.03594      9.83804      2.00000      0.27326      0.27468      0.00000    1.492e-05     0.00e+00
     0.03693     10.11130      2.00000      0.27351      0.27493      0.00000    1.422e-05     0.00e+00
     0.03793     10.38460      2.00000      0.27372      0.27514      0.00000    1.356e-05     0.00e+00
     0.03893     10.65790      2.00000      0.27397      0.27539      0.00000    1.294e-05     0.00e+00
     0.03993     10.93120      2.00000      0.27418      0.27561      0.00000    1.236e-05     0.00e+00
     0.00499      1.36640      3.00000      0.25893      0.26030      0.00000    4.161e-04     0.00e+00
     0.00599      1.63967      3.00000      0.26246      0.26385      0.00000    3.048e-04     0.00e+00
     0.00699      1.91295      3.00000      0.26505      0.26645      0.00000    2.346e-04     0.00e+00
     0.00799      2.18623      3.00000      0.26705      0.26845      0.00000    1.874e-04     0.00e+00
     0.00898      2.45951      3.00000      0.26870      0.27011      0.00000    1.541e-04     0.00e+00
     0.00998      2.73279      3.00000      0.27007      0.27148      0.00000    1.297e-04     0.00e+00
     0.01098      3.00607      3.00000      0.27122      0.27264      0.00000    1.111e-04     0.00e+00
